image,source
000001.jpg,http://1.bp.blogspot.com/_y9hRNmeik1w/Szhi78o3ebI/AAAAAAAAAPA/1Zj78erC0bg/w1200-h630-p-k-no-nu/devon+rex1.jpg
000002.jpg,https://icatcare.org/app/uploads/2018/09/devon-rex-1-1200x600.jpg
000003.jpg,https://i.pinimg.com/originals/7a/e1/aa/7ae1aaba9018c931fa7d43b8a8504995.jpg
000004.jpg,https://usercontent1.hubstatic.com/5898038_f520.jpg
000005.jpg,https://cdn1-www.cattime.com/assets/uploads/gallery/bombay-cats-and-kittens_1/devon-rex-cats-and-kittens-1.jpg
000006.jpg,https://t1.ea.ltmcdn.com/en/razas/0/0/6/img_600_devon-rex_0_600.jpg
000007.jpg,https://i.pinimg.com/originals/81/e3/fc/81e3fc2d8bbdf16a1715209f88b4a430.jpg
000008.jpg,https://www.holidogtimes.com/wp-content/uploads/2018/01/chat-devon-rex-EN-FI.png
000009.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/styles/nppe_breed_selector_500/public/breed_library/cat_devon_rex.jpg
000010.jpg,https://images.squarespace-cdn.com/content/v1/5ad1475a297114e73a1ef739/1523744049584-DYW81M2FMPRR8YEOUB9M/ke17ZwdGBToddI8pDm48kOrXfLpZoIFAOyKFrkfPMq1Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpwN7YvfN5ttzpnXbeW_Td-ibo-6GJdL39OS6V9AoCmSXeeZ8tXJCq8iy-NCsoOzbXQ/like+milo.jpg
000011.jpg,https://img.favpng.com/18/14/14/devon-rex-persian-cat-kitten-siamese-cat-cornish-rex-png-favpng-A9zJCwWEdVRSxuZMdc6AtH0DD.jpg
000012.jpg,https://allaboutcats.com/wp-content/uploads/2018/01/Devon-Rex.jpg
000013.jpg,https://cdn.shopify.com/s/files/1/0997/4496/articles/Blue_Eyed_Devon_Rex_Cat_d9234955-823a-459d-8b14-fb1340247c0e_5000x.jpg
000014.jpg,https://img.freepik.com/free-photo/devonrex-kitten-sitting-couch_75514-1327.jpg
000015.jpg,https://vgl.ucdavis.edu/sites/g/files/dgvnsk8836/files/inline-images/Sphynx-and-Devon-Rex-Coats-1200px.jpg
000016.jpg,https://thumbs.dreamstime.com/z/portrait-gray-devon-rex-cat-white-background-143947657.jpg
000017.jpg,https://i.pinimg.com/736x/b7/65/73/b765737ac58ecd3a6c28b245c4a6e424.jpg
000018.jpg,https://www.askideas.com/media/19/Devon-Rex-Cat-Face.jpg
000019.jpg,https://cdn0.wideopenpets.com/wp-content/uploads/2020/06/Untitled-design-2020-06-15T205311.347-770x405.jpg
000020.jpg,https://cf.ltkcdn.net/cats/images/std/255226-675x450-Devon_Rex_kittens.jpg
000021.jpg,https://i.pinimg.com/originals/03/fe/7d/03fe7d86bcba1c66fa369c3188780e04.jpg
000022.jpg,https://thumbs.dreamstime.com/z/adorable-blue-tonkanese-point-white-devon-rex-cat-kitten-girl-sitting-front-view-isolated-background-looking-straight-124727227.jpg
000023.jpg,https://live.staticflickr.com/3200/3015435349_af0e971f9d_b.jpg
000024.jpg,https://cdn.imgbin.com/1/15/9/imgbin-donskoy-cat-devon-rex-peterbald-german-rex-australian-mist-kitten-xt4q80YernwHrW814aSKczG2F.jpg
000025.jpg,https://www.askideas.com/media/19/Black-And-White-Two-Devon-Rex-Kittens.jpg
000026.jpg,https://c4.wallpaperflare.com/wallpaper/94/201/155/white-devon-rex-wallpaper-preview.jpg
000027.jpg,https://i.ytimg.com/vi/Pb70DctU_g4/maxresdefault.jpg
000028.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/devon-rex-card-small.jpg
000029.jpg,https://cdn.shopify.com/s/files/1/0997/4496/files/Devon_Rex_Kittens_grande.jpg
000030.jpg,https://c8.alamy.com/comp/BMB84D/devon-rex-cat-black-smoke-white-BMB84D.jpg
000031.jpg,https://sketchok.com/images/articles/07-animals/01-cats/10/11.jpg
000032.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Devon_rex_juvenile_Cat.jpg
000033.jpg,https://img.favpng.com/12/9/15/sphynx-cat-peterbald-devon-rex-ukrainian-levkoy-kitten-png-favpng-QzpfSVRKEHQWEuyGQ0eUrddid.jpg
000034.jpg,https://img.freepik.com/free-photo/little-devonrex-kitten-stands-plaid_75514-1332.jpg
000035.jpg,https://i.ebayimg.com/images/g/KgkAAMXQn11RbCuv/s-l300.jpg
000036.jpg,https://i.pinimg.com/originals/fa/d7/da/fad7da9eca8800c429d0938e6c355d5c.jpg
000037.jpg,https://c8.alamy.com/comp/PFPK9M/devon-rex-cat-PFPK9M.jpg
000038.jpg,https://thumbs.dreamstime.com/z/funny-devon-rex-kittens-scratching-post-portrait-cute-cats-talking-51255070.jpg
000039.jpg,https://images.freeimages.com/images/premium/previews/1607/16073819-devon-rex-breed-black-cat.jpg
000040.jpg,http://www.tiptopglobe.com/big-photo/devon-rex-cat-1.jpg
000041.jpg,https://zaoda.xyz/Image/U2FsdGVkX1/eyngAd2zeqTobzV6j2KTC9D8V3KjwCkwgnWwYJULFNjNkFuq/T1U4D7hYAONRTKyHjL5zAWl61bZC/devon-rex-cat-price.jpg
000042.jpg,https://icatcare.org/app/uploads/2018/08/Devon-rex.png
