image,source
000001.jpg,https://cf.ltkcdn.net/cats/images/orig/246639-1600x1030-ragdoll-cats-cost.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Ragdoll_from_Gatil_Ragbelas.jpg
000003.jpg,https://i.pinimg.com/736x/64/60/b8/6460b864d8cbecc1c58522e62ee37a38.jpg
000004.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/styles/nppe_breed_selector_og_image/public/breed_library/cat_ragdoll.jpg
000005.jpg,https://icatcare.org/app/uploads/2018/10/ragdoll-1-1200x600.jpg
000006.jpg,https://cdn1-www.cattime.com/assets/uploads/gallery/ragdoll/ragdoll-cats-kittens-1.jpg
000007.jpg,https://www.catster.com/wp-content/uploads/2018/01/Ragdoll-cat-on-blue-backdrop-.jpg
000008.jpg,https://i.pinimg.com/originals/23/a7/7f/23a77f7c7f285615b1e1e675509f94a2.png
000009.jpg,https://indoorcatmom.com/wp-content/uploads/2018/11/Why-is-a-Ragdoll-an-indoor-cat.jpg
000010.jpg,https://ragdolllove.com/wp-content/uploads/2019/03/Duff-and-ZeeZee-August-2017-Original-Image-1024x860.jpg
000011.jpg,https://i.ytimg.com/vi/H_KEe4Z1PFg/maxresdefault.jpg
000012.jpg,https://uk.mypetandi.com/sites/g/files/adhwdz331/files/styles/paragraph_image/public/2018-03/ragdoll_cat_01401.jpg
000013.jpg,https://cdn.shopify.com/s/files/1/1088/7528/articles/6670edd5ab4bbc9e61a335bea85b2004_1600x.jpg
000014.jpg,https://trupanion.com/-/media/trupanion/images/breed--guide--new/ragdoll/ragdoll-cat2.jpg
000015.jpg,https://i.pinimg.com/originals/a5/e0/be/a5e0be2b55f8528c74b8484851d4413f.jpg
000016.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Cat/Mobile/Cat_Ragdoll_Mobile.jpg
000017.jpg,https://static.boredpanda.com/blog/wp-content/uploads/2017/12/angry-cat-merlin-ragdoll-11-5a2f8ffc4293f__700.jpg
000018.jpg,https://www.rover.com/blog/wp-content/uploads/2019/06/96467175_s.jpg
000019.jpg,https://images2.minutemediacdn.com/image/upload/c_crop,h_1191,w_2121,x_0,y_34/f_auto,q_auto,w_1100/v1554738990/shape/mentalfloss/78233-istock-965506882.jpg
000020.jpg,https://cat-world.com/wp-content/uploads/2017/06/ragdoll-cat-breed-profile.jpg
000021.jpg,https://i.pinimg.com/originals/fb/cc/4e/fbcc4e73821c74cca648b0ef31ae7eea.jpg
000022.jpg,https://www.petplace.com/static/2c041b98886e369cd0da395ede5e56a3/c23ac/shutterstock_671170645.jpg
000023.jpg,https://cdn.hswstatic.com/gif/ragdoll-cat-1.jpg
000024.jpg,https://usercontent1.hubstatic.com/12924958_f1024.jpg
000025.jpg,https://petskb.com/wp-content/uploads/2020/04/ragdoll-4.jpg
000026.jpg,https://www.prestigeanimalhospital.com/sites/default/files/styles/large/adaptive-image/public/ragdoll-cat-breed-info.jpg
000027.jpg,https://i0.wp.com/pawesomecats.com/wp-content/uploads/2014/03/Ragdoll-cat.jpg
000028.jpg,https://purrcraze.com/wp-content/uploads/2019/01/Ragdolls-Good-For-First-Time-Owners_-1.jpg
000029.jpg,https://www.thehappycatsite.com/wp-content/uploads/2016/08/Ragdoll-Cats-HC-long.jpg
000030.jpg,https://images.ctfassets.net/440y9b545yd9/4PjMuZHJH4FawjAelQ0oHk/14c0f2950f6b7a65e656c4e5fd4b639c/Ragdoll850.jpg
000031.jpg,https://mymodernmet.com/wp/wp-content/uploads/archive/p1puejgnZCnt8DvwufUk_skyragdoll15.jpg
000032.jpg,https://image.slidesharecdn.com/allaboutragdollcatbreed-131121052009-phpapp02/95/all-about-ragdoll-cat-breed-1-638.jpg
000033.jpg,http://azure.wgp-cdn.co.uk/app-yourcat/posts/ragdoll_cat1.jpg
000034.jpg,https://purrcraze.com/wp-content/uploads/2019/10/Ragdoll-Cat-Lazy.jpg
000035.jpg,https://www.mypetneedsthat.com/wp-content/uploads/2018/10/ragdoll-cat-1068x346.jpg
000036.jpg,https://www.petfirst.com/wp-content/uploads/2019/01/shutterstock_429276766-1.jpg
000037.jpg,https://i.ytimg.com/vi/MvkaoqpbDz0/maxresdefault.jpg
000038.jpg,https://image.freepik.com/free-photo/ragdoll-cat-studio_87557-2422.jpg
000039.jpg,https://www.petful.com/wp-content/uploads/2014/07/ragdoll-1-750x478.jpg
000040.jpg,https://petskb.com/wp-content/uploads/2020/04/Ragdoll-at-window.jpg
000041.jpg,https://www.cozycatfurniture.com/image/ragdoll-cat.jpg
000042.jpg,https://ragdolllove.com/wp-content/uploads/2018/11/10-REASONS-WHY-YOU-MAY-NOT-LIKE-RAGDOLL-CATS-PIN-2-400x600.jpg
000043.jpg,https://purrcraze.com/wp-content/uploads/2019/02/Ragdoll-Cat-Toys-1.jpg
000044.jpg,https://www.everypaw.com/uploads/rsz_rag_doll%201_1.jpg
000045.jpg,https://i.pinimg.com/originals/74/12/83/741283c6ed49ee21f1ce3e968c8def3d.jpg
000046.jpg,https://catbeep.com/wp-content/uploads/2019/10/Ragdoll-Cat-Colors.jpg
000047.jpg,https://s.abcnews.com/images/Lifestyle/HT_sky_the_cat_05_mm_160323_16x9_992.jpg
000048.jpg,https://www.zooplus.co.uk/magazine/wp-content/uploads/2019/07/ragdoll-cat-breed.jpg
000049.jpg,https://i.ytimg.com/vi/EcCz1JikmXc/maxresdefault.jpg
000050.jpg,https://geniusvets.s3.amazonaws.com/gv-cat-breeds/Ragdoll-1.jpg
000051.jpg,https://t2.ea.ltmcdn.com/en/images/1/2/8/health_problems_of_ragdoll_cats_2821_600_square.jpg
000052.jpg,https://petmedical.com.au/wp-content/uploads/2018/11/Burmese-vs-ragdoll.jpg
000053.jpg,https://www.mipetcover.co.uk/wp-content/uploads/2019/11/DDD_Ragdoll-cat-looking-over-a-womans-shoulder-1803x1200.jpg
000054.jpg,https://i2.wp.com/felineliving.net/wp-content/uploads/2018/01/ragdoll-cat.jpg
000055.jpg,https://ragdolllove.com/wp-content/uploads/2018/02/ZeeZee-Chilling-on-Chair-October-2017.jpg
000056.jpg,https://persiancatcorner.com/wp-content/uploads/2019/10/Persian-Cat-vs.-Ragdoll-1.png
